original_log_message,modified_log_message,word_changed,word_inserted,location_changed,ground_truth_changed,ground_truth,prediction
[CLS] price info request failed,[CLS] price info request succeded,failed,succeded,4,1,2,2
[CLS] interrupted,[CLS] executed,interrupted,executed,1,1,2,2
[CLS] interrupted,[CLS] failed,interrupted,failed,1,0,2,2
[CLS] worker interrupted,[CLS] worker exit,interrupted,exit,2,1,2,2
[CLS] worker interrupted,[CLS] node interrupted,worker,node,2,2,2,2
[CLS] found using defaults,[CLS] found using inclusion,defaults,inclusion,3,1,2,2
[CLS] callable service object skipping,[CLS] callable service object killing,skipping,killing,4,0,2,2
[CLS] current script detecting assuming dashboard running old suffix,[CLS] current script erase assuming dashboard running old suffix,detecting,erase,3,2,2,2
[CLS] local mode currently supports single worker,[CLS] local mode currently discard single worker,supports,discard,4,2,2,2
[CLS] could find owners,[CLS] could find owners,0.0,0.0,0.0,0.0,2,2
[CLS] could find dependency info owners configurations,[CLS] couldnot find dependency info owners configurations,could,couldnot,1,0,2,2
[CLS] unknown timer fired,[CLS] known timer fired,unknown,known,1,1,2,2
[CLS] discarding unrecognized arguments,[CLS] keeping unrecognized arguments,discarding,keeping,1,2,2,2
[CLS] discarding unrecognized arguments,[CLS] discarding recognized arguments,unrecognized,recognized,2,2,2,2
[CLS] discarding unparseable args,[CLS] discarding unparseable args,discarding,keeping,1,2,2,2
[CLS] discarding invalid overrides,[CLS] discarding invalid overrides,invalid,valid,2,2,2,2
[CLS] unable create default gcs bucket,[CLS] failed create default gcs bucket,unable,failed,1,0,2,2
[CLS] tensorflow installed skipping tests,[CLS] tensorflow installed executing tests,skipping,executing,3,1,2,2
[CLS] provided timestamp emplaced past,[CLS] provided timestamp emplaced future,past,future,4,2,2,2
[CLS] could find compatible bson package,[CLS] couldnot find compatible bson package,couldnt,couldnot,1,0,2,2
[CLS] key coder transform stateful dofn may,[CLS] key coder transform stateful dofn may,coder,node,2,2,2,2
[CLS] ignoring hint,[CLS] satisfy hint,ignoring,satisfy,1,2,2,2
[CLS] ignoring hint,[CLS] ignoring connection,hint,connection,2,1,2,2
[CLS] could get signature function,[CLS] couldnot get signature function,could,couldnot,1,0,2,2
[CLS] unable retrieve counter metrics runner,[CLS] able retrieve counter metrics runner,unable,able,1,1,2,2
[CLS] unable retrieve distribution metrics runner,[CLS] able retrieve distribution metrics runner,unable,able,1,1,2,2
[CLS] could find owners,[CLS] couldnt find owners,could,couldnt,1,0,2,2
[CLS] could find dependency info owners configurations,[CLS] couldnt find dependency info owners configurations,couldnt,could,1,0,2,2
[CLS] successfully found image path,[CLS] unsuccessfully found image path,successfully,unsuccessfully,1,0,1,1
[CLS] sending request fetch image path,[CLS] failed request fetch image path,sending,failed,1,0,1,1
[CLS] image path received successfully,[CLS] image path received unsuccessfully,successfully,unsuccessfully,4,0,1,1
[CLS] sending request fetch price info,[CLS] sending request fetch price error,info,error,5,0,1,1
[CLS] unknown timer fired,[CLS] known timer fired,unknown,known,1,1,2,2
[CLS] query noutput,[CLS] invalidquery noutput,query,invalidquery,1,0,1,1
[CLS] using accumulators beamaccumulatorprovider,[CLS] using accumulators failed,beamaccumulatorprovider,failed,3,0,1,1
[CLS] closing idle shard writer minute idle time,[CLS] closing idle shard writer minute idle time,idle,failed,6,0,1,1
